Description,Question,Equation,Input Numbers,Output,numbers
last week fred had number0 dollars and jason had number1 dollars . fred washed cars over the weekend and now has number2 dollars .,how much money did fred make washing cars ?,- number2 number0,46 13 57,11.0,2
at the fair kaleb bought number0 tickets . after riding the ferris wheel he had number1 tickets left . if each ticket cost number2 dollars,how much money did kaleb spend riding the ferris wheel ?,* - number0 number1 number2,6 3 9,27.0,3
faye had number0 books . if she bought number1 more at a yard sale,how many would she have total ?,+ number0 number1,7 12,19.0,2
beth has number0 packs of crayons . each pack has number1 crayons in it . she also has number2 extra crayons .,how many crayons does beth have altogether ?,+ * number0 number1 number2,4 10 6,46.0,3
oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .,what 's the difference between the weight of the first box and the third box ?,- number2 number0,2 3 13,11.0,2
andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1,how many wrappers were gathered in total ?,+ number0 number1,34 15,49.0,2
omar loves to play checkers . he played number0 games yesterday . he played number1 games today . omar lost number2 games .,how many games did he win ?,- + number0 number1 number2,37 49 18,68.0,3
adam put number0 items in the shopping cart . after deleting some he had number1 left .,how many items did adam delete ?,- number0 number1,18 8,10.0,2
she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?,* number0 number1,7 5,35.0,2
j.t . has some superhero trading cards . he lost number0 of them . he gave number1 of them to his best friend . now he has number2 cards left .,how many cards did j.t . have at first ?,+ + number2 number0 number1,14 19 45,78.0,3
the library has number0 science books . the second graders borrowed number1 of them .,what 's the difference between the number of science books the library has in the beginning and the second graders borrowed ?,- number0 number1,75 18,57.0,2
rob is very fond of tall structures . he likes collecting pictures and comparing them . number0 of his favorite buildings are chicago 's sears tower and dubai 's burj khalifa . if burj khalifa stands at number1 meters high and sears stands at number2 meters high,how much higher is burj khalifa than sears ?,- number1 number2,2 830 527,303.0,2
for dessert jane 's mom prepared number0 pieces of bite-size cinnamon swirls . if the number1 of them ate an equal number of pieces of cinnamon swirls,how many pieces did jane eat ?,/ number0 number1,12 3,4.0,2
lisa rented number0 dvds for $ number1 .,how much did each dvd cost to rent ?,/ number1 number0,4 4.80,1.2,2
jake read number0 pages of his new book . it has number1 chapters and number2 pages . jake read number3 more pages later that day .,how many pages has he read in all ?,+ number0 number3,37 8 95 25,62.0,2
if you add number0 to a mystery number you will get number1 what,is the mystery number ?,- number1 number0,45 92,47.0,2
erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day .,how many miles did they ride altogether ?,+ number1 number2,2 37 55,92.0,2
paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . if each box has number2 pieces inside it,how much candy did he have total ?,* + number0 number1 number2,6 4 9,90.0,3
vanessa had to complete number0 pages of homework . each page had number1 problems on it .,how many problems did she have to complete total ?,* number0 number1,3 4,12.0,2
jasper is in charge of the refreshments . he sold number0 bags of chips . he sold number1 fewer hot dogs than chips . he sold number2 more drinks than hot dogs .,how many drinks did jasper sell ?,+ - number0 number1 number2,27 8 12,31.0,3
dave was making ice using ice trays . he originally had number0 ice cubes . but made number1 more cubes .,how many ice cubes did he have totaled ?,+ number0 number1,2 7,9.0,2
haley watched tv for number0 hours on saturday and number1 hours on sunday .,how many hours did haley watch tv total ?,+ number0 number1,6 3,9.0,2
gwen prepared number0 books to sell in the flea market . after the activity ended she had number1 books left .,how many did she sell ?,- number0 number1,98 96,2.0,2
a dvd book holds number0 dvds . there are number1 dvds already in the book .,how many more dvds can be put in the book ?,- number0 number1,126 81,45.0,2
anne had number0 sweettarts . if anne gave equal numbers of sweettarts to her number1 friends,how many sweettarts did each person eat ?,/ number0 number1,15 3,5.0,2
after resting they decided to go for a swim . if the depth of the water is number0 times dean 's height and he stands at number1 feet,how deep was the water ?,* number0 number1,10 6,60.0,2
it has been tradition in shiela 's home to hang a sock above the fireplace for each member of the family . this year she placed a cinnamon ball every day in the socks for number0 of her family members .,how long can she do this if she bought number1 cinnamon balls ?,/ number1 number0,5 50,10.0,2
for a birthday party a clown gave away number0 balloons . now he has number1 balloons left .,how many balloons did the clown have to start with ?,+ number0 number1,6 55,61.0,2
tiffany was playing a video game and had number0 lives . in a hard part of the game she lost number1 lives . if she got number2 more lives in the next level,how many lives would she have ?,+ - number0 number1 number2,43 14 27,56.0,3
mr. lee wants to load number0 tons of his fruits . a large truck can load number1 tons of fruits and small truck can load number2 tons . in order to use the least number of trucks and have every truck fully occupied,how many large trucks should be used ?,/ number0 number1,134 15 7,8.93333333333333,2
the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowers,how many more red flowers are needed ?,- number0 number1,555 347,208.0,2
at the zoo zoe took number0 pictures . if her sister took another number1 pictures,how many did they take total ?,+ number0 number1,67 17,84.0,2
isabella 's hair is number0 cubes long . if her hair grows number1 more inches,how long will it be ?,+ number0 number1,18 4,22.0,2
after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .,what is the total area of the farm ?,* number1 number0,5 60,300.0,2
while playing a video game ned lost number0 lives . now he has number1 lives .,how many lives did ned have at the start ?,+ number0 number1,13 70,83.0,2
there are number0 students trying out for the school 's trivia teams . if number1 of them did n't get picked for the team and the rest were put into number2 groups,how many students would be in each group ?,/ - number0 number1 number2,58 28 5,6.0,3
to carry heavy construction materials they employed number0 red ants and number1 black ants .,how many ants did they employ in total ?,+ number0 number1,413 487,900.0,2
there are number0 dogwood trees currently in the park . park workers will plant more dogwood trees today . when the workers are finished there will be number1 dogwood trees in the park .,how many dogwood trees did the workers plant today ?,- number1 number0,38 56,18.0,2
the roller coaster at the state fair costs number0 tickets per ride . if number1 friends were going to ride the roller coaster,how many tickets would they need ?,* number0 number1,6 8,48.0,2
there were number0 bales of hay in the barn and number1 bales in the shed . benny stacked more bales in the barn today . there are now number2 bales of hay in the barn .,how many bales did he store in the barn ?,- number2 number0,47 40 82,35.0,2
john had number0 socks . if he threw away number1 old number2 that did n't fit and bought number3 new number4,how many socks would he have ?,+ - number0 number1 number3,33 19 1 13 1,27.0,3
andy had number0 baseball cards . his dad gave him some more . then andy had number1 baseball cards .,how many baseball cards did andy get from his dad ?,- number1 number0,31 50,19.0,2
henry bought number0 new fireworks and his friend bought number1 if they already had number2 saved from last year,how many do they have now ?,+ + number0 number1 number2,2 3 6,11.0,3
janet had number0 paper clips on the desk when she woke up in the morning . before going to bed she found there were number1 left .,how many paper clips did she use today ?,- number0 number1,85 26,59.0,2
feeling sad about their loss on their first game chuck and his teammates were determined to win on their next match against the yellow team . they scored number0 points and the yellow team scored number1,how large was their lead ?,- number0 number1,72 55,17.0,2
there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .,what 's the difference between the number of all questions on the math test and the number of questions that steve can answer ?,- number0 number3,45 17 28 38,7.0,2
ronald has number0 eggs and number1 candies . if he shares the eggs among number2 friends,how many eggs does each friend get ?,/ number0 number2,16 3 8,2.0,2
a florist had number0 roses . if she sold number1 of them and then later picked number2 more,how many roses would she have ?,+ - number0 number1 number2,50 15 21,56.0,3
evan has a large collection of books . he gave his best friend number0 books . he gave his little brother number1 books . now evan has number2 books in his collection .,how many books did he have at first ?,+ + number2 number0 number1,14 8 60,82.0,3
it 's basketball season in ashford elementary school . chuck the team captain of the blue team is feeling nervous about it . their first opponent is the red team composed of other number0 graders gave them a hard time . if they lost by number1 points and the red team scored number2 points,what is their team 's final score ?,- number2 number1,3 13 61,48.0,2
their next opponent was the green team . if their final score is number0 points and they led by number1 points,what is green team 's final score ?,- number0 number1,68 29,39.0,2
number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages .,how many pages does the encyclopedia have in total ?,* number1 number2,1 7 566,3962.0,2
there are number0 boys and some girls on the playground . there are number1 children altogether .,how many girls are on the playground ?,- number1 number0,40 117,77.0,2
uncle dave bought number0 ice cream sandwiches . if he wants to give them to his number1 hungry nieces,how many can each niece get ?,/ number0 number1,143 11,13.0,2
on a table there were number0 green apples number1 red apples and number2 yellow apples .,how many apples were on the table ?,+ + number0 number1 number2,2 3 14,19.0,3
emily 's mom was buying extra school supplies for emily and her sister . she bought number0 packs of glue sticks total . if she gave emily number1 packs,how many did her sister get ?,- number0 number1,13 6,7.0,2
in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles,how many will each of the boys receive ?,/ number1 number0,5 35,7.0,2
it 's valentine 's day in the city and mayor harvey wants to celebrate by giving the institutions for women some flowers . his first beneficiary was the nursing home for old women . he bought number0 sets of flowers number1 pieces each .,how many flowers did he buy for the nursing home ?,* number0 number1,3 90,270.0,2
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,how many tickets did the yoyo cost ?,- number0 number1,48 32,16.0,2
a waiter had number0 customers . if number1 left,how many customers would the waiter still have ?,- number0 number1,18 6,12.0,2
jerry had $ number0 . he spent $ number1 on new video games .,how much money does he have now ?,- number0 number1,18 6,12.0,2
ned mowed his lawn number0 times in the spring and number1 times in the summer .,how many times did he mow total ?,+ number0 number1,6 5,11.0,2
a worker at a medical lab is studying blood samples . the first sample contained number0 blood cells . the second number1 contained number2 more than the first .,about how many blood cells were in the second sample ?,+ number0 number2,1410 1 6908,8318.0,2
mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?,+ number0 number1,13 12,25.0,2
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,what 's the difference between the number of billy 's tickets he won and he had the left after buying yoyo ?,- number0 number1,48 32,16.0,2
a delivery driver had to make number0 more stops on his route . at each stop he had to drop off number1 boxes .,how many boxes does he have ?,* number0 number1,3 9,27.0,2
a pet store had number0 siamese cats . if they sold number1 of them,how many cats did they still have ?,- number0 number1,7 4,3.0,2
there are number0 cats in the little town . if number1 of them are a asleep,how many cats are still awake ?,- number0 number1,98 92,6.0,2
laura has number0 blocks and number1 cards . if she shares the blocks among number2 friends,how many blocks does each friend get ?,/ number0 number2,28 8 4,7.0,2
josh had number0 pencils . he gave number1 pencils to dorothy .,how many pencils does josh have left ?,- number0 number1,142 31,111.0,2
carol was sending out birthday invitations to her friends . if each package of invitations she bought had number0 invitations in it and she bought number1 packs,how many friends can she invite ?,* number0 number1,9 5,45.0,2
adam needed to climb number0 stair steps to reach the rooftop . he already climbed number1 .,how many stair steps do left for adam to climb now ?,- number0 number1,96 74,22.0,2
it 's new year 's eve . benjamin and his family went to new york city to take part in the celebration that is going to take place later that night . before the evening celebrations benjamin wanted to see some of the famous places in nyc first . from the hotel he walked number0 steps to the nearest restaurant then another number1 steps to central park .,how many steps did he take to get to central park from the hotel ?,+ number0 number1,234 378,612.0,2
the third graders are having a fair . they have number0 tickets to sell . they sold number1 tickets the first week and number2 tickets the second week .,how many tickets do they have left to sell ?,- - number0 number2 number1,90 38 17,35.0,3
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,how much more money does she need ?,- number0 number1,65 27,38.0,2
next on his checklist are wax glues to stick the feathers together . if the feathers require number0 g of wax and right now he just needs number1 g,how many grams of wax glue does he already have ?,- number0 number1,469 257,212.0,2
billy was making ice using ice trays . each tray held number0 ice cubes . if he had number1 trays,how many cubes could he make ?,* number0 number1,9 8,72.0,2
helen 's mother brought number0 hotdogs . after a few hours dylan 's mother arrived with number1 hotdogs .,how many hotdogs do they have altogether ?,+ number0 number1,101 379,480.0,2
sam and erica have $ number0 together . sam has $ number1 .,how does erica have ?,- number0 number1,91 38,53.0,2
since the townspeople requested that he makes a chocolate cake he will need number0 lbs . of cocoa powder . if the mayor already gave him number1 lbs .,how much cocoa powder does he still need ?,- number0 number1,306 259,47.0,2
ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf .,how many boxes of choco delights were missing ?,+ - number0 number2 number1,26 15 22,19.0,3
while playing a trivia game team a scored number0 points team b scored number1 points and team c scored number2 points .,how many points were scored total ?,+ + number0 number1 number2,2 9 4,15.0,3
my car gets number0 miles per gallon of gas . if grandma 's house is number1 miles away,how many gallons of gas would it take to get to her house ?,/ number1 number0,20 100,5.0,2
there are number0 students going to a trivia competition . if each school van can hold number1 students,how many vans will they need ?,/ number0 number1,396 9,44.0,2
faye picked number0 flowers for her friend 's wedding . she was making bouquets with number1 flowers in each one . if number2 of the flowers wilted before the wedding,how many bouquets could she still make ?,/ - number0 number2 number1,88 5 48,8.0,3
the following week they decided to go to lake huron and lake michigan . during their stay there they caught a total of number0 pikes number1 sturgeons and number2 herrings .,how many fishes did they catch from the number3 lakes ?,+ + number0 number1 number2,30 40 75 2,145.0,3
there are number0 students in the class . the teacher divided them into number1 equal groups .,how many students are there in each group ?,/ number0 number1,32 5,6.4,2
roger went to the movies number0 times last year and number1 times this year .,how many times did roger go to the movies all together ?,+ number0 number1,15 3,18.0,2
tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?,* number1 number2,1 3 3.00,9.0,2
mother bought some potatoes . she used number0 of the potatoes to make salads and number1 of the potatoes for mashed potatoes . if there were number2 potatoes left,how many potatoes did mother buy at first ?,+ + number0 number1 number2,15 24 13,52.0,3
amy was buying different soups . she bought number0 cans of chicken soup and number1 cans of tomato soup .,how many soups did she buy ?,+ number0 number1,6 3,9.0,2
there are number0 pounds of sand to be filled into bags . if each bag has a capacity of number1 pounds,how many bags are needed ?,/ number0 number1,757 65,11.6461538461538,2
billy bought number0 boxes of candy with each box having number1 pieces inside of it .,how many pieces of candy did he have totaled ?,* number0 number1,7 3,21.0,2
at billy 's restaurant a group with number0 adults and number1 children came in to eat . if each meal cost number2 dollars,how much was the bill ?,* + number0 number1 number2,2 5 3,21.0,3
there are number0 butterflies . each butterfly has number1 black dots and number2 yellow dots .,how many black dots are there in all ?,* number0 number1,397 12 17,4764.0,2
there were number0 people on the train . after the first stop there were number1 people left .,how many people got off ?,- number0 number1,48 31,17.0,2
dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the rent,how much did they pay in total ?,* number0 number1,7 70.00,490.0,2
james had number0 stickers . he got some more stickers for his birthday . then he had number1 stickers .,how many stickers did james get for his birthday ?,- number1 number0,39 61,22.0,2
the wings now need to be heated . if the oven is at number0 degrees and the required temperature is number1 degrees,how many more degrees does the oven temperature need to increase ?,- number1 number0,150 546,396.0,2
for paige 's birthday she received number0 dollars from her friends and number1 dollars from her relatives .,how much money did she get for her birthday ?,+ number0 number1,2 3,5.0,2
a farmer had number0 tomatoes from his garden . if he picked number1 of them,how many would he have left ?,- number0 number1,97 83,14.0,2
lawrence has number0 marbles . if he shares them among number1 friends,how many marbles does each friend get ?,/ number0 number1,5504 64,86.0,2
annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients,how many pieces of meat did she buy in total ?,+ + number0 number1 number2,15 10 30,55.0,3
sharon has number0 plums . allan has number1 plums .,what 's the difference of the number of sharon 's plums and allan 's plums ?,- number1 number0,7 10,3.0,2
janet 's dad took the family out to eat for her birthday . there were number0 people total . there were number1 kids and everyone else was an adult .,how many adults were there ?,- number0 number1,10 8,2.0,2
sean has number0 whistles . he has number1 more whistles that charles .,how many whistles does charles have ?,- number0 number1,223 95,128.0,2
gwen 's class is going on a field trip to the zoo . if each van can hold number0 people and there are number1 students and number2 adults going,how many vans will they need ?,/ + number2 number1 number0,7 33 9,6.0,3
there were number0 passengers on the bus . number1 passengers got off at the first stop . number2 passengers got off at the second stop .,how many passengers were left on the bus ?,- - number0 number1 number2,46 19 15,12.0,3
during halloween she was able to get a lot of candies from trick or treating . she decided to give away some of them to the homeless kids nearby . if she has number0 candies and gave away number1,how many does she have left ?,- number0 number1,60 40,20.0,2
a farmer had number0 tomatoes from his garden . if he picked number1 of them,what 's the difference between the number of tomatoes before picking and he picked ?,- number0 number1,17 9,8.0,2
chris gave his number0 friends number1 pieces of candy each .,how many pieces of candy did chris give his friends ?,* number0 number1,35 12,420.0,2
mrs. hilt measured the distance from her desk to the water fountain . it was number0 feet .,how many feet will mrs. hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,* number0 number1,30 4,120.0,2
robin 's hair was number0 inches long . if she cut off number1 inches,how long is her hair now ?,- number0 number1,15 5,10.0,2
